iter	Accuracy	MultiClass
387	0.9861215117	0.06423943528
388	0.9860216664	0.06401273295
389	0.9861215117	0.06387950643
390	0.9862712795	0.06381759157
391	0.9863212021	0.06360940501
392	0.9864210474	0.06353563434
393	0.9863212021	0.06339973511
394	0.9863711248	0.06326524649
395	0.98647097	0.06311307576
396	0.9865708152	0.06306068928
397	0.9865208926	0.06298938096
398	0.9867705057	0.06278546521
399	0.9867205831	0.06266575456
400	0.986870351	0.06258282344
401	0.9869202736	0.0624564806
402	0.9869202736	0.06240496555
403	0.986870351	0.06227226117
404	0.9869202736	0.06218932548
405	0.9869202736	0.06215139427
406	0.9869701962	0.06207004313
407	0.9869701962	0.06200835568
408	0.9869701962	0.06196581042
409	0.9869202736	0.06188408379
410	0.9870201188	0.06166334414
411	0.9869701962	0.0615714819
412	0.9870201188	0.06134959411
413	0.9870700414	0.06127854082
414	0.9871199641	0.06115806808
415	0.9871698867	0.0609478179
416	0.9871698867	0.06085716876
417	0.9872198093	0.06073949228
418	0.9872198093	0.06063911977
419	0.9872697319	0.06050129573
420	0.9872697319	0.06039254865
421	0.9873695772	0.06026643885
422	0.9873695772	0.06020723165
423	0.9873196545	0.05995574281
424	0.9876691129	0.05975588584
425	0.9876191903	0.05969181245
426	0.9878188807	0.0596401323
427	0.987918726	0.05958521381
428	0.9878688034	0.05949185016
429	0.9879686486	0.05934782747
430	0.987918726	0.05931052989
431	0.987918726	0.05915998822
432	0.987918726	0.05911328409
433	0.987918726	0.0590813853
434	0.9881184165	0.05897994503
435	0.9881184165	0.05880982228
436	0.9881683391	0.05870498749
437	0.9881683391	0.0586323321
438	0.9882681843	0.05850861783
439	0.9883680296	0.05845257036
440	0.9882681843	0.05828095547
441	0.9883680296	0.05822888672
442	0.9883680296	0.05813409782
443	0.9884179522	0.05807336701
444	0.9884179522	0.05801816058
445	0.9884179522	0.05786763548
446	0.9884179522	0.05780393376
447	0.9884678748	0.05770749947
448	0.9884678748	0.05765696016
449	0.9884678748	0.05760348389
450	0.98856772	0.0575425847
451	0.98856772	0.05744696445
452	0.9885177974	0.05729821578
453	0.98856772	0.05717845441
454	0.9886176427	0.05714435991
455	0.98856772	0.05707319425
456	0.9886176427	0.05703507687
457	0.9887174879	0.05692541607
458	0.9888173331	0.05686167305
459	0.988967101	0.05667147471
460	0.9890170236	0.05658933289
461	0.9890669462	0.05652916144
462	0.9890669462	0.05648585583
463	0.9890669462	0.05642738999
464	0.9891168689	0.05626704804
465	0.9892167141	0.05618165917
466	0.9893165593	0.05595658292
467	0.989366482	0.05588452676
468	0.9892167141	0.05573148931
469	0.9892666367	0.05566080323
470	0.9894663272	0.05560937719
471	0.9894164046	0.05555376435
472	0.989366482	0.05539710157
473	0.9894663272	0.05533495077
474	0.9895661724	0.05521458891
475	0.9896660177	0.05507773119
476	0.9897658629	0.05497446243
477	0.9898657082	0.05491803323
478	0.9898657082	0.05485072065
479	0.9898657082	0.05480461592
480	0.9898657082	0.05475474246
481	0.9898157855	0.05469264997
482	0.9898657082	0.0546235377
483	0.9899655534	0.05458542704
484	0.9900653986	0.05437688736
485	0.9900653986	0.05418801584
486	0.9901652439	0.05412636183
487	0.9902151665	0.05402795784
488	0.9901652439	0.05389661428
489	0.9901153213	0.0537942527
490	0.9901153213	0.05366752753
491	0.9902650891	0.05357759549
492	0.9905147022	0.05342720414
493	0.9906145475	0.05338721684
494	0.9905646248	0.05328253672
495	0.9905147022	0.05321554087
496	0.9906145475	0.0531866836
497	0.9907643153	0.05304496619
498	0.9907643153	0.05294647869
499	0.9907643153	0.05286549019
500	0.9908142379	0.05283591168
501	0.9908641606	0.05275986259
502	0.9909140832	0.05270621941
503	0.9909140832	0.05263234827
504	0.9911636963	0.05253671789
505	0.9911636963	0.05245864603
506	0.9911636963	0.05240357868
507	0.9911636963	0.05235736765
